trial_number,stability_score,overall_sharpe,fold_sharpes,confidence_threshold,params
0,-2.5733073368132953,-2.6084196593086375,"[-4.5222, 0.0, 0.0]",0.623799413953512,"{""model"": ""lgb"", ""lgb_n_estimators"": 295, ""learning_rate"": 0.0326413326749309, ""num_leaves"": 75, ""max_depth"": 8, ""min_child_samples"": 49, ""subsample"": 0.9324613747115065, ""colsample_bytree"": 0.6748260381738079, ""confidence_threshold"": 0.623799413953512}"
1,-2.6736903830918712,-2.723794380289648,"[-4.6986, 0.0, 0.0]",0.5959634619135187,"{""model"": ""lgb"", ""lgb_n_estimators"": 231, ""learning_rate"": 0.06595314737519083, ""num_leaves"": 16, ""max_depth"": 4, ""min_child_samples"": 12, ""subsample"": 0.8332707166468627, ""colsample_bytree"": 0.6440569786166699, ""confidence_threshold"": 0.5959634619135187}"
2,-1.0,0.0,"[0.0, 0.0, 0.0]",0.6777194354722246,"{""model"": ""lgb"", ""lgb_n_estimators"": 248, ""learning_rate"": 0.011498696903968195, ""num_leaves"": 25, ""max_depth"": 5, ""min_child_samples"": 28, ""subsample"": 0.9235693863434267, ""colsample_bytree"": 0.642206444029545, ""confidence_threshold"": 0.6777194354722246}"
3,-1.0,0.0,"[0.0, 0.0, 0.0]",0.5560029670643416,"{""model"": ""lgb"", ""lgb_n_estimators"": 122, ""learning_rate"": 0.025620745515168644, ""num_leaves"": 60, ""max_depth"": 4, ""min_child_samples"": 46, ""subsample"": 0.8031997808670353, ""colsample_bytree"": 0.7368205193338009, ""confidence_threshold"": 0.5560029670643416}"
4,-1.6870155278532015,0.0,"[-2.9647, 0.0, 0.0]",0.5805948524959629,"{""model"": ""lgb"", ""lgb_n_estimators"": 106, ""learning_rate"": 0.027820674469333943, ""num_leaves"": 60, ""max_depth"": 5, ""min_child_samples"": 29, ""subsample"": 0.7542017370858767, ""colsample_bytree"": 0.7569429359210511, ""confidence_threshold"": 0.5805948524959629}"
5,-0.8507477019551251,-0.8632215491414612,"[-1.4951, 0.0, 0.0]",0.5690059869298403,"{""model"": ""lgb"", ""lgb_n_estimators"": 165, ""learning_rate"": 0.050881066323448576, ""num_leaves"": 39, ""max_depth"": 3, ""min_child_samples"": 21, ""subsample"": 0.7685802752997103, ""colsample_bytree"": 0.8583748753485027, ""confidence_threshold"": 0.5690059869298403}"
6,-1.0,0.0,"[0.0, 0.0, 0.0]",0.6005218519944847,"{""model"": ""lgb"", ""lgb_n_estimators"": 111, ""learning_rate"": 0.012630997792524908, ""num_leaves"": 68, ""max_depth"": 6, ""min_child_samples"": 33, ""subsample"": 0.762764379170956, ""colsample_bytree"": 0.7597215127308318, ""confidence_threshold"": 0.6005218519944847}"
7,-1.4150752651751861,-1.4355109250418947,"[-2.4868, 0.0, 0.0]",0.5886603479200593,"{""model"": ""lgb"", ""lgb_n_estimators"": 288, ""learning_rate"": 0.018326038858921638, ""num_leaves"": 39, ""max_depth"": 3, ""min_child_samples"": 35, ""subsample"": 0.890117996179769, ""colsample_bytree"": 0.7127928437043606, ""confidence_threshold"": 0.5886603479200593}"
8,-1.0,0.0,"[0.0, 0.0, 0.0]",0.6898817142496766,"{""model"": ""lgb"", ""lgb_n_estimators"": 74, ""learning_rate"": 0.01235818510953628, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 15, ""subsample"": 0.7364383757733202, ""colsample_bytree"": 0.8183283081641672, ""confidence_threshold"": 0.6898817142496766}"
9,-0.6847254589170518,-0.6947952084985167,"[-1.2033, 0.0, 0.0]",0.5899807630654715,"{""model"": ""lgb"", ""lgb_n_estimators"": 181, ""learning_rate"": 0.04018190257799332, ""num_leaves"": 80, ""max_depth"": 3, ""min_child_samples"": 27, ""subsample"": 0.8378245614678236, ""colsample_bytree"": 0.7478180120490987, ""confidence_threshold"": 0.5899807630654715}"
