trial_number,stability_score,overall_sharpe,fold_sharpes,confidence_threshold,params
1,-5.2500052080964235,-3.907337044281012,"[0.0, 0.0, 0.0, -8.75, 0.0]",0.44053751285455994,"{""num_features"": 34, ""model"": ""lgb"", ""lgb_n_estimators"": 68, ""learning_rate"": 0.041375339835696794, ""num_leaves"": 73, ""confidence_threshold"": 0.44053751285455994}"
2,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3102071412762098,"{""num_features"": 147, ""model"": ""rf"", ""rf_n_estimators"": 310, ""max_depth"": 94, ""min_samples_leaf"": 10, ""criterion"": ""gini"", ""confidence_threshold"": 0.3102071412762098}"
5,-5.377570282682541,-3.703144851421799,"[0.0, 0.0, 0.0, -8.6959, -1.2516]",0.3527913875302188,"{""num_features"": 69, ""model"": ""lgb"", ""lgb_n_estimators"": 118, ""learning_rate"": 0.05474940062774613, ""num_leaves"": 57, ""confidence_threshold"": 0.3527913875302188}"
0,-5.231003731036351,-3.4795288895116068,"[0.0, 0.0, 0.0, -8.6959, -0.1309]",0.5124735346241831,"{""num_features"": 48, ""model"": ""lgb"", ""lgb_n_estimators"": 268, ""learning_rate"": 0.09937646243644763, ""num_leaves"": 77, ""confidence_threshold"": 0.5124735346241831}"
7,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.31933542456058467,"{""num_features"": 91, ""model"": ""rf"", ""rf_n_estimators"": 105, ""max_depth"": 24, ""min_samples_leaf"": 12, ""criterion"": ""entropy"", ""confidence_threshold"": 0.31933542456058467}"
6,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.370995225870607,"{""num_features"": 105, ""model"": ""rf"", ""rf_n_estimators"": 377, ""max_depth"": 75, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""confidence_threshold"": 0.370995225870607}"
4,-5.200035772015101,-3.265914004776201,"[0.0, 0.0, 0.0, -8.4498, -1.0501]",0.4600761864549167,"{""num_features"": 67, ""model"": ""lgb"", ""lgb_n_estimators"": 198, ""learning_rate"": 0.1018527767781107, ""num_leaves"": 118, ""confidence_threshold"": 0.4600761864549167}"
3,-5.811715404465259,-3.936533135209915,"[0.0, 0.0, 0.0, -8.6959, -3.3575]",0.33170363952654613,"{""num_features"": 80, ""model"": ""lgb"", ""lgb_n_estimators"": 361, ""learning_rate"": 0.07846802610448304, ""num_leaves"": 102, ""confidence_threshold"": 0.33170363952654613}"
11,-4.641733446700279,-3.448087693970291,"[0.0, 0.0, 0.0, -7.7362, 0.0]",0.3563613960261142,"{""num_features"": 98, ""model"": ""rf"", ""rf_n_estimators"": 53, ""max_depth"": 22, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""confidence_threshold"": 0.3563613960261142}"
9,-4.567600099125409,-3.4191455101258903,"[0.0, 0.0, 0.0, -7.6127, 0.0]",0.3101427327765153,"{""num_features"": 40, ""model"": ""lgb"", ""lgb_n_estimators"": 129, ""learning_rate"": 0.08627777707387953, ""num_leaves"": 34, ""confidence_threshold"": 0.3101427327765153}"
12,-4.641733446700279,-3.448087693970291,"[0.0, 0.0, 0.0, -7.7362, 0.0]",0.31854349478119653,"{""num_features"": 77, ""model"": ""rf"", ""rf_n_estimators"": 52, ""max_depth"": 96, ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""confidence_threshold"": 0.31854349478119653}"
8,-4.4918115748307486,-3.337553313252149,"[0.0, 0.0, 0.0, -7.4864, 0.0]",0.34742395080986926,"{""num_features"": 125, ""model"": ""lgb"", ""lgb_n_estimators"": 172, ""learning_rate"": 0.013323805569794334, ""num_leaves"": 74, ""confidence_threshold"": 0.34742395080986926}"
10,-5.218373647080287,-3.452309462210474,"[0.0, 0.0, 0.0, -8.4802, -1.0512]",0.545367534382833,"{""num_features"": 122, ""model"": ""lgb"", ""lgb_n_estimators"": 114, ""learning_rate"": 0.08819786192827825, ""num_leaves"": 82, ""confidence_threshold"": 0.545367534382833}"
13,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.40114811726513233,"{""num_features"": 143, ""model"": ""rf"", ""rf_n_estimators"": 320, ""max_depth"": 100, ""min_samples_leaf"": 20, ""criterion"": ""gini"", ""confidence_threshold"": 0.40114811726513233}"
14,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3860271602682062,"{""num_features"": 140, ""model"": ""rf"", ""rf_n_estimators"": 378, ""max_depth"": 88, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3860271602682062}"
16,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.39585651458350424,"{""num_features"": 147, ""model"": ""rf"", ""rf_n_estimators"": 379, ""max_depth"": 89, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.39585651458350424}"
